run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-081847	natural	1	19686	2035686	199	MAGMA_CRAB	FEMALE	186	62	38	13,27,-1,32,-1,0	cavern	26434	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	200	MAGMA_CRAB	MALE	191	61	38	13,27,-1,32,-1,0	cavern	24673	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	201	MAGMA_CRAB	MALE	191	60	38	13,27,-1,32,-1,0	cavern	27289	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	162	FISH_STINGRAY	MALE	152	109	94	13,28,0,-1,-1,6	feature	25846	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	163	ALLIGATOR	FEMALE	135	85	94	13,28,0,-1,-1,4	feature	19348	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	164	ALLIGATOR	MALE	137	87	95	13,28,0,-1,-1,4	feature	22238	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	165	HIPPO	FEMALE	167	131	95	13,28,0,-1,-1,5	feature	23598	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	166	HIPPO	FEMALE	166	118	95	13,28,0,-1,-1,5	feature	18008	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	167	HIPPO	MALE	157	102	95	13,28,0,-1,-1,5	feature	23359	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	168	HIPPO	FEMALE	185	121	95	13,28,0,-1,-1,5	feature	23823	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	178	WEASEL	FEMALE	188	190	95	13,28,-1,-1,-1,170	surface	23529	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	173	163	83	12,28,-1,2,-1,18	cavern	20872	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	180	BIRD_OSPREY	MALE	113	49	99	12,27,-1,-1,-1,6	surface	16932	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	181	BIRD_OSPREY	MALE	120	68	103	12,27,-1,-1,-1,6	surface	23128	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	182	DEMON_14	DEFAULT	55	36	7	12,28,-1,41,-1,1	cavern	24966	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	183	DEMON_14	DEFAULT	60	98	6	12,28,-1,41,-1,1	cavern	20942	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	184	DEMON_14	DEFAULT	46	31	7	12,28,-1,41,-1,1	cavern	24319	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	185	DEMON_14	DEFAULT	93	11	5	12,28,-1,41,-1,1	cavern	22138	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	186	DEMON_14	DEFAULT	95	11	5	12,28,-1,41,-1,1	cavern	21191	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	187	CAVE_BLOB	DEFAULT	172	43	56	13,27,-1,22,-1,11	cavern	17468	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	188	CAVE_BLOB	DEFAULT	177	43	56	13,27,-1,22,-1,11	cavern	20154	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	189	GORLAK	FEMALE	89	161	82	12,28,-1,2,-1,27	cavern	23804	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	190	MANERA	FEMALE	32	2	77	12,27,-1,14,-1,12	cavern	23638	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	191	REACHER	FEMALE	158	7	77	12,28,-1,14,-1,14	cavern	17547	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	192	RHINOCEROS	MALE	166	128	95	13,28,-1,-1,-1,241	surface	22999	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	193	RHINOCEROS	MALE	181	140	95	13,28,-1,-1,-1,241	surface	24216	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	194	RHINOCEROS	FEMALE	188	141	95	13,28,-1,-1,-1,241	surface	26420	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	195	RHINOCEROS	FEMALE	189	138	95	13,28,-1,-1,-1,241	surface	22033	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	196	RHINOCEROS	MALE	189	133	95	13,28,-1,-1,-1,241	surface	23827	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	197	RHINOCEROS	MALE	191	134	95	13,28,-1,-1,-1,241	surface	19039	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	198	RHINOCEROS	MALE	189	128	95	13,28,-1,-1,-1,241	surface	24188	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	199	MAGMA_CRAB	FEMALE	183	62	39	13,27,-1,32,-1,0	cavern	26049	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20071	2036071	200	MAGMA_CRAB	MALE	182	62	38	13,27,-1,32,-1,0	cavern	24288	0	1	0	0	0	-1	0	1
