run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-080028	aquatic	1	18480	2034480	195	OLM_GIANT	FEMALE	4	174	55	3,31,-1,2,-1,10	cavern	25684	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	196	PLUMP_HELMET_MAN	FEMALE	26	145	30	4,30,-1,20,-1,14	cavern	28003	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	197	PLUMP_HELMET_MAN	MALE	26	153	30	4,30,-1,20,-1,14	cavern	22078	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	198	PLUMP_HELMET_MAN	MALE	27	153	30	4,30,-1,20,-1,14	cavern	21447	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	199	PLUMP_HELMET_MAN	FEMALE	19	160	30	4,30,-1,20,-1,14	cavern	24896	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	200	PLUMP_HELMET_MAN	FEMALE	8	167	29	4,30,-1,20,-1,14	cavern	21839	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	201	BIRD_SWALLOW_CAVE_GIANT	FEMALE	180	189	67	3,31,-1,2,-1,18	cavern	22947	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	202	DEMON_14	DEFAULT	168	29	2	4,29,-1,38,-1,5	cavern	21732	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	203	DEMON_14	DEFAULT	175	23	4	4,29,-1,38,-1,5	cavern	23338	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	204	DEMON_14	DEFAULT	180	15	3	4,29,-1,38,-1,5	cavern	22875	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	205	CRUNDLE	FEMALE	66	185	36	4,30,-1,11,-1,15	cavern	26824	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	206	CRUNDLE	FEMALE	70	191	36	4,30,-1,11,-1,15	cavern	28985	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	207	CRUNDLE	FEMALE	69	191	36	4,30,-1,11,-1,15	cavern	22433	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	208	CRUNDLE	MALE	69	191	36	4,30,-1,11,-1,15	cavern	25303	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	209	CRUNDLE	FEMALE	67	191	36	4,30,-1,11,-1,15	cavern	29757	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	210	CRUNDLE	FEMALE	70	191	36	4,30,-1,11,-1,15	cavern	21339	0	1	0	0	1	-1	0	1
