run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-123933	natural	1	32177	2048177	224	BIRD_ALBATROSS	MALE	89	54	102	3,27,-1,-1,-1,67	surface	15168	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	225	BIRD_ALBATROSS	FEMALE	89	61	102	3,27,-1,-1,-1,67	surface	17233	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	226	BIRD_ALBATROSS	FEMALE	87	63	102	3,27,-1,-1,-1,67	surface	17172	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	227	TOAD_GIANT_CAVE	FEMALE	112	110	56	4,28,-1,2,-1,11	cavern	17377	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	228	BIRD_FALCON_PEREGRINE	MALE	112	191	105	4,29,-1,-1,-1,51	surface	17966	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	229	ANACONDA	FEMALE	28	162	93	4,29,-1,-1,-1,39	surface	19436	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	230	WATER_BUFFALO	FEMALE	45	166	93	4,29,-1,-1,-1,56	surface	13997	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	231	WATER_BUFFALO	FEMALE	44	159	93	4,29,-1,-1,-1,56	surface	17287	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	232	WATER_BUFFALO	FEMALE	71	158	93	4,29,-1,-1,-1,56	surface	11713	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	233	WATER_BUFFALO	FEMALE	72	157	93	4,29,-1,-1,-1,56	surface	14955	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	234	WATER_BUFFALO	MALE	77	158	93	4,29,-1,-1,-1,56	surface	18059	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	235	WATER_BUFFALO	MALE	82	159	93	4,29,-1,-1,-1,56	surface	19196	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	236	BIRD_OSPREY	FEMALE	187	138	95	4,29,-1,-1,-1,50	surface	15414	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	237	BIRD_ALBATROSS	FEMALE	1	22	105	3,27,-1,-1,-1,67	surface	19895	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	238	BIRD_ALBATROSS	FEMALE	4	18	108	3,27,-1,-1,-1,67	surface	22127	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	239	BIRD_ALBATROSS	FEMALE	8	14	108	3,27,-1,-1,-1,67	surface	22358	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	240	BIRD_ALBATROSS	FEMALE	11	10	107	3,27,-1,-1,-1,67	surface	13476	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	241	BIRD_ALBATROSS	FEMALE	12	9	107	3,27,-1,-1,-1,67	surface	13580	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	242	BIRD_ALBATROSS	MALE	10	5	104	3,27,-1,-1,-1,67	surface	16666	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	243	BIRD_ALBATROSS	MALE	121	3	103	3,27,-1,-1,-1,67	surface	21931	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	244	BIRD_ALBATROSS	FEMALE	118	6	99	3,27,-1,-1,-1,67	surface	18457	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	245	BIRD_EAGLE	FEMALE	188	185	97	4,28,-1,-1,-1,33	surface	22903	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	246	BIRD_ALBATROSS	FEMALE	140	165	101	3,28,-1,-1,-1,67	surface	24221	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	247	BIRD_ALBATROSS	FEMALE	135	162	102	3,28,-1,-1,-1,67	surface	21545	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	248	BIRD_ALBATROSS	FEMALE	131	158	101	3,28,-1,-1,-1,67	surface	19730	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	249	BIRD_ALBATROSS	FEMALE	127	154	101	3,28,-1,-1,-1,67	surface	19741	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	250	BIRD_ALBATROSS	MALE	123	150	101	3,28,-1,-1,-1,67	surface	17314	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	251	BIRD_ALBATROSS	FEMALE	122	151	101	3,28,-1,-1,-1,67	surface	25935	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	252	CRAB	FEMALE	189	99	93	3,28,-1,-1,-1,23	surface	24003	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	253	LEOPARD	FEMALE	189	11	94	4,28,-1,-1,-1,63	surface	18844	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	254	CRAB	MALE	0	159	93	3,28,-1,-1,-1,23	surface	27817	0	1	1	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	255	MONGOOSE	MALE	179	0	94	4,28,-1,-1,-1,68	surface	19949	0	1	1	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	171	BIRD_ALBATROSS	FEMALE	30	18	94	3,27,-1,-1,-1,67	surface	12887	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	172	BIRD_ALBATROSS	FEMALE	27	21	96	3,27,-1,-1,-1,67	surface	7578	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	173	BIRD_ALBATROSS	MALE	24	24	99	3,27,-1,-1,-1,67	surface	9330	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	174	TOAD_GIANT_CAVE	MALE	49	161	59	4,28,-1,2,-1,11	cavern	21638	0	1	0	1	1	-1	0	1
20260917-123933	natural	1	32443	2048443	175	JABBERER	MALE	66	6	39	4,28,-1,10,-1,6	cavern	5287	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	176	HUNGRY_HEAD	MALE	188	62	18	4,28,-1,22,-1,20	cavern	8244	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	177	HUNGRY_HEAD	FEMALE	35	36	19	4,28,-1,22,-1,20	cavern	10710	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	178	HUNGRY_HEAD	MALE	35	36	19	4,28,-1,22,-1,20	cavern	9516	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	179	HUNGRY_HEAD	MALE	25	35	18	4,28,-1,22,-1,20	cavern	6522	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	180	HUNGRY_HEAD	MALE	22	34	18	4,28,-1,22,-1,20	cavern	10988	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	181	HUNGRY_HEAD	MALE	20	33	18	4,28,-1,22,-1,20	cavern	12832	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	182	HUNGRY_HEAD	FEMALE	21	33	18	4,28,-1,22,-1,20	cavern	7882	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	183	MAGMA_CRAB	MALE	9	36	10	3,28,-1,29,-1,0	cavern	5504	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	184	MAGMA_CRAB	FEMALE	12	32	10	3,28,-1,29,-1,0	cavern	11433	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	185	MAGMA_CRAB	MALE	14	28	10	3,28,-1,29,-1,0	cavern	12163	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	186	MAGMA_CRAB	FEMALE	11	23	10	3,28,-1,29,-1,0	cavern	4683	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	187	MAGMA_CRAB	FEMALE	7	20	10	3,28,-1,29,-1,0	cavern	11358	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	188	DEMON_2	DEFAULT	172	174	0	4,28,-1,38,-1,6	cavern	4691	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	189	DEMON_2	DEFAULT	149	149	3	4,28,-1,38,-1,6	cavern	12561	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	190	DEMON_2	DEFAULT	90	94	3	4,28,-1,38,-1,6	cavern	6779	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	191	DEMON_2	DEFAULT	31	179	3	4,28,-1,38,-1,6	cavern	13756	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	192	DEMON_2	DEFAULT	31	179	3	4,28,-1,38,-1,6	cavern	9170	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	193	TOAD_GIANT_CAVE	MALE	57	97	55	4,28,-1,2,-1,11	cavern	7251	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	194	BAT_GIANT	MALE	154	174	35	4,28,-1,10,-1,4	cavern	27559	0	1	0	1	1	-1	0	1
20260917-123933	natural	1	32443	2048443	195	BUGBAT	MALE	174	102	21	4,28,-1,22,-1,17	cavern	9462	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	196	BUGBAT	FEMALE	9	97	21	4,28,-1,22,-1,17	cavern	9215	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	197	BUGBAT	FEMALE	20	38	18	4,28,-1,22,-1,17	cavern	22323	0	1	0	1	1	-1	0	1
20260917-123933	natural	1	32443	2048443	198	BUGBAT	FEMALE	15	6	20	4,28,-1,22,-1,17	cavern	22399	0	1	0	1	1	-1	0	1
20260917-123933	natural	1	32443	2048443	199	BUGBAT	FEMALE	73	185	20	4,28,-1,22,-1,17	cavern	9833	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	200	BUGBAT	MALE	57	44	20	4,28,-1,22,-1,17	cavern	10705	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	201	BUGBAT	FEMALE	40	29	19	4,28,-1,22,-1,17	cavern	10331	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	202	BUGBAT	MALE	40	29	19	4,28,-1,22,-1,17	cavern	8259	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	203	BUGBAT	MALE	14	3	20	4,28,-1,22,-1,17	cavern	11658	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	204	BUGBAT	FEMALE	14	3	20	4,28,-1,22,-1,17	cavern	12627	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	205	BUGBAT	FEMALE	14	6	20	4,28,-1,22,-1,17	cavern	13504	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	206	BUGBAT	FEMALE	51	94	21	4,28,-1,22,-1,17	cavern	13192	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	207	BUGBAT	MALE	25	82	22	4,28,-1,22,-1,17	cavern	10287	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	208	TROGLODYTE	FEMALE	181	148	36	3,28,-1,10,-1,2	cavern	13105	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	209	TROGLODYTE	FEMALE	185	151	35	3,28,-1,10,-1,2	cavern	8991	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	210	TROGLODYTE	FEMALE	178	140	36	3,28,-1,10,-1,2	cavern	12809	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	211	TROGLODYTE	FEMALE	169	136	36	3,28,-1,10,-1,2	cavern	14054	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	212	TROGLODYTE	FEMALE	164	137	36	3,28,-1,10,-1,2	cavern	12215	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	213	TROGLODYTE	MALE	165	130	36	3,28,-1,10,-1,2	cavern	13482	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	214	TROGLODYTE	MALE	162	126	36	3,28,-1,10,-1,2	cavern	10766	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	215	BIRD_ALBATROSS	MALE	85	188	98	3,27,-1,-1,-1,67	surface	15493	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	216	BIRD_ALBATROSS	FEMALE	160	119	109	3,27,-1,-1,-1,67	surface	9681	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	217	BIRD_ALBATROSS	MALE	171	61	109	3,27,-1,-1,-1,67	surface	8681	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	218	BIRD_ALBATROSS	FEMALE	171	61	109	3,27,-1,-1,-1,67	surface	9968	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	219	BIRD_ALBATROSS	FEMALE	171	61	109	3,27,-1,-1,-1,67	surface	7169	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	220	BIRD_ALBATROSS	MALE	92	23	103	3,27,-1,-1,-1,67	surface	17019	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	221	BIRD_ALBATROSS	MALE	96	25	105	3,27,-1,-1,-1,67	surface	11551	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	222	BIRD_ALBATROSS	MALE	100	28	103	3,27,-1,-1,-1,67	surface	14329	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	223	BIRD_ALBATROSS	FEMALE	103	31	101	3,27,-1,-1,-1,67	surface	11994	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	224	BIRD_ALBATROSS	MALE	103	35	104	3,27,-1,-1,-1,67	surface	14902	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	225	BIRD_ALBATROSS	FEMALE	102	39	106	3,27,-1,-1,-1,67	surface	16967	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	226	BIRD_ALBATROSS	FEMALE	101	41	104	3,27,-1,-1,-1,67	surface	16906	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	227	TOAD_GIANT_CAVE	FEMALE	107	110	55	4,28,-1,2,-1,11	cavern	17111	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	228	BIRD_FALCON_PEREGRINE	MALE	115	178	102	4,29,-1,-1,-1,51	surface	17700	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	229	ANACONDA	FEMALE	31	165	93	4,29,-1,-1,-1,39	surface	19170	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	230	WATER_BUFFALO	FEMALE	53	163	93	4,29,-1,-1,-1,56	surface	13731	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	231	WATER_BUFFALO	FEMALE	45	161	93	4,29,-1,-1,-1,56	surface	17021	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	232	WATER_BUFFALO	FEMALE	65	158	93	4,29,-1,-1,-1,56	surface	11447	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	233	WATER_BUFFALO	FEMALE	70	159	93	4,29,-1,-1,-1,56	surface	14689	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	234	WATER_BUFFALO	MALE	73	158	93	4,29,-1,-1,-1,56	surface	17793	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	235	WATER_BUFFALO	MALE	76	157	93	4,29,-1,-1,-1,56	surface	18930	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	236	BIRD_OSPREY	FEMALE	170	135	95	4,29,-1,-1,-1,50	surface	15148	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	237	BIRD_ALBATROSS	FEMALE	20	32	97	3,27,-1,-1,-1,67	surface	19629	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	238	BIRD_ALBATROSS	FEMALE	16	29	94	3,27,-1,-1,-1,67	surface	21861	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	239	BIRD_ALBATROSS	FEMALE	9	25	95	3,27,-1,-1,-1,67	surface	22092	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	240	BIRD_ALBATROSS	FEMALE	8	23	94	3,27,-1,-1,-1,67	surface	13210	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	241	BIRD_ALBATROSS	FEMALE	9	23	95	3,27,-1,-1,-1,67	surface	13314	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	242	BIRD_ALBATROSS	MALE	7	20	102	3,27,-1,-1,-1,67	surface	16400	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	243	BIRD_ALBATROSS	MALE	139	6	101	3,27,-1,-1,-1,67	surface	21665	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	244	BIRD_ALBATROSS	FEMALE	137	4	103	3,27,-1,-1,-1,67	surface	18191	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	245	BIRD_EAGLE	FEMALE	170	179	96	4,28,-1,-1,-1,33	surface	22637	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	246	BIRD_ALBATROSS	FEMALE	151	178	98	3,28,-1,-1,-1,67	surface	23955	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	247	BIRD_ALBATROSS	FEMALE	153	174	102	3,28,-1,-1,-1,67	surface	21279	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	248	BIRD_ALBATROSS	FEMALE	154	170	104	3,28,-1,-1,-1,67	surface	19464	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	249	BIRD_ALBATROSS	FEMALE	152	169	103	3,28,-1,-1,-1,67	surface	19475	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	250	BIRD_ALBATROSS	MALE	144	169	101	3,28,-1,-1,-1,67	surface	17048	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	251	BIRD_ALBATROSS	FEMALE	140	167	101	3,28,-1,-1,-1,67	surface	25669	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	252	CRAB	FEMALE	190	96	94	3,28,-1,-1,-1,23	surface	23737	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	253	LEOPARD	FEMALE	185	15	94	4,28,-1,-1,-1,63	surface	18578	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	254	CRAB	MALE	0	162	93	3,28,-1,-1,-1,23	surface	27551	0	1	1	0	0	-1	0	1
20260917-123933	natural	1	32443	2048443	255	MONGOOSE	MALE	178	10	94	4,28,-1,-1,-1,68	surface	19683	0	1	1	0	0	-1	0	1
20260917-123933	natural	1	32686	2048686	171	BIRD_ALBATROSS	FEMALE	45	22	98	3,27,-1,-1,-1,67	surface	12644	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32686	2048686	172	BIRD_ALBATROSS	FEMALE	44	17	96	3,27,-1,-1,-1,67	surface	7335	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32686	2048686	173	BIRD_ALBATROSS	MALE	41	14	98	3,27,-1,-1,-1,67	surface	9087	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32686	2048686	174	TOAD_GIANT_CAVE	MALE	49	161	59	4,28,-1,2,-1,11	cavern	21638	0	1	0	1	1	-1	0	1
20260917-123933	natural	1	32686	2048686	175	JABBERER	MALE	72	15	39	4,28,-1,10,-1,6	cavern	5044	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32686	2048686	176	HUNGRY_HEAD	MALE	191	71	22	4,28,-1,22,-1,20	cavern	8001	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32686	2048686	177	HUNGRY_HEAD	FEMALE	35	36	19	4,28,-1,22,-1,20	cavern	10467	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32686	2048686	178	HUNGRY_HEAD	MALE	35	36	19	4,28,-1,22,-1,20	cavern	9273	0	1	0	0	0	-1	0	1
